qtr,clock,playerid,playername,passing_yds,rushing_yds,receiving_yds,receiving_rec,passing_tds,rushing_tds,receiving_tds
1,11:57,00-0027218,J.Bell,0,-2,0,0,0,0,0
1,11:56,00-0031075,A.Blue,0,1,0,0,0,0,0
1,11:51,00-0027939,C.Newton,12,0,0,0,0,0,0
1,11:51,00-0022811,J.Cotchery,0,0,12,1,0,0,0
1,11:47,00-0031391,T.Mason,0,10,0,0,0,0,0
1,11:46,00-0029615,L.Miller,0,4,0,0,0,0,0
1,11:41,00-0027029,L.McCoy,0,4,0,0,0,0,0
1,11:38,00-0031060,D.Thomas,0,8,0,0,0,0,0
1,11:36,00-0030496,L.Bell,0,2,0,0,0,0,0
1,11:31,00-0029104,J.Gray,0,7,0,0,0,0,0
1,11:27,00-0027966,M.Ingram,0,2,0,0,0,0,0
1,11:22,00-0023500,F.Gore,0,3,0,0,0,0,0
1,11:19,00-0026498,M.Stafford,11,0,0,0,0,0,0
1,11:19,00-0027891,G.Tate,0,0,11,1,0,0,0
1,11:16,00-0028012,R.Mallett,41,0,0,0,0,0,0
1,11:16,00-0030564,D.Hopkins,0,0,41,1,0,0,0
1,11:15,00-0029137,A.Jeffery,0,0,10,1,0,0,0
1,11:15,00-0024226,J.Cutler,10,0,0,0,0,0,0
1,11:15,00-0031391,T.Mason,0,4,0,0,0,0,0
1,11:10,00-0029701,R.Tannehill,7,0,0,0,0,0,0
1,11:10,00-0027077,B.Hartline,0,0,7,1,0,0,0
1,11:06,00-0020531,D.Brees,13,0,0,0,0,0,0
1,11:06,00-0027696,J.Graham,0,0,13,1,0,0,0
1,11:04,00-0026153,J.Stewart,0,4,0,0,0,0,0
1,11:01,00-0026213,J.Charles,0,7,0,0,0,0,0
1,10:55,00-0026144,D.McFadden,0,2,0,0,0,0,0
1,10:54,00-0029104,J.Gray,0,7,0,0,0,0,0
1,10:41,00-0031075,A.Blue,0,2,0,0,0,0,0
1,10:39,00-0031045,C.Hyde,0,7,0,0,0,0,0
1,10:38,00-0024334,B.Marshall,0,0,6,1,0,0,0
1,10:38,00-0024226,J.Cutler,6,0,0,0,0,0,0
1,10:37,00-0030525,T.Austin,0,2,0,0,0,0,0
1,10:30,00-0031413,B.Sankey,0,3,0,0,0,0,0
1,10:29,00-0029665,R.Griffin,10,0,0,0,0,0,0
1,10:29,00-0026189,D.Jackson,0,0,10,1,0,0,0
1,10:24,00-0020531,D.Brees,4,0,0,0,0,0,0
1,10:24,00-0027966,M.Ingram,0,0,4,1,0,0,0
1,10:22,00-0026213,J.Charles,0,6,0,0,0,0,0
1,10:20,00-0030485,E.Lacy,0,1,0,0,0,0,0
1,10:20,00-0027994,S.Vereen,0,18,0,0,0,0,0
1,10:19,00-0022736,S.Jackson,0,4,0,0,0,0,0
1,10:13,00-0031280,D.Carr,9,0,0,0,0,0,0
1,10:13,00-0028263,A.Holmes,0,0,9,1,0,0,0
1,10:09,00-0031075,A.Blue,0,5,0,0,0,0,0
1,09:56,00-0027974,C.Kaepernick,16,0,0,0,0,0,0
1,09:56,00-0022084,A.Boldin,0,0,16,1,0,0,0
1,09:56,00-0031266,Z.Mettenberger,14,0,0,0,0,0,0
1,09:56,00-0029708,K.Wright,0,0,14,1,0,0,0
1,09:55,00-0029665,R.Griffin,12,0,0,0,0,0,0
1,09:55,00-0030472,J.Reed,0,0,12,1,0,0,0
1,09:53,00-0025542,D.Rosario,0,0,7,1,0,0,0
1,09:53,00-0024226,J.Cutler,7,0,0,0,0,0,0
1,09:52,00-0029104,J.Gray,0,16,0,0,0,0,0
1,09:51,00-0022736,S.Jackson,0,4,0,0,0,0,0
1,09:49,00-0020531,D.Brees,2,0,0,0,0,0,0
1,09:49,00-0027844,E.Lorig,0,0,2,1,0,0,0
1,09:48,00-0029615,L.Miller,0,-2,0,0,0,0,0
1,09:48,00-0030287,A.Ellington,0,2,0,0,0,0,0
1,09:46,00-0023436,A.Smith,13,0,0,0,0,0,0
1,09:46,00-0026213,J.Charles,0,0,13,1,0,0,0
1,09:41,00-0031075,A.Blue,0,3,0,0,0,0,0
1,09:37,00-0031280,D.Carr,33,0,0,0,0,0,0
1,09:37,00-0030514,M.Rivera,0,0,33,1,0,0,0
1,09:35,00-0031413,B.Sankey,0,3,0,0,0,0,0
1,09:21,00-0029141,A.Morris,0,8,0,0,0,0,0
1,09:20,00-0027150,J.Edelman,0,25,0,0,0,0,0
1,09:16,00-0023500,F.Gore,0,-6,0,0,0,0,0
1,09:10,00-0026184,M.Forte,0,8,0,0,0,0,0
1,09:07,00-0025430,D.Stanton,49,0,0,0,0,0,0
1,09:07,00-0028345,R.Hughes,0,0,49,1,0,0,0
1,09:05,00-0029701,R.Tannehill,32,0,0,0,0,0,0
1,09:05,00-0030874,D.Williams,0,0,32,1,0,0,0
1,09:04,00-0027155,R.Jennings,0,3,0,0,0,0,0
1,09:04,00-0010346,P.Manning,22,0,0,0,0,0,0
1,09:04,00-0027685,E.Sanders,0,0,22,1,0,0,0
1,09:02,00-0024242,D.Williams,0,8,0,0,0,0,0
1,09:02,00-0031075,A.Blue,0,2,0,0,0,0,0
1,09:00,00-0030280,K.Davis,0,3,0,0,0,0,0
1,08:57,00-0028002,R.Cobb,0,0,22,1,0,0,0
1,08:57,00-0023459,A.Rodgers,22,0,0,0,0,0,0
1,08:57,00-0031280,D.Carr,2,0,0,0,0,0,0
1,08:57,00-0030514,M.Rivera,0,0,2,1,0,0,0
1,08:50,00-0031266,Z.Mettenberger,23,0,0,0,0,0,0
1,08:50,00-0029708,K.Wright,0,0,23,1,0,0,0
1,08:48,00-0027973,A.Dalton,0,11,0,0,0,0,0
1,08:42,00-0029104,J.Gray,0,4,0,0,0,1,0
1,08:41,00-0031390,C.Sims,0,4,0,0,0,0,0
1,08:39,00-0029701,R.Tannehill,6,0,0,0,0,0,0
1,08:39,00-0030874,D.Williams,0,0,6,1,0,0,0
1,08:37,00-0010346,P.Manning,8,0,0,0,0,0,0
1,08:37,00-0022427,W.Welker,0,0,8,1,0,0,0
1,08:31,00-0028012,R.Mallett,16,0,0,0,0,0,0
1,08:31,00-0022044,A.Johnson,0,0,16,1,0,0,0
1,08:31,00-0022803,E.Manning,20,0,0,0,0,0,0
1,08:31,00-0029262,R.Randle,0,0,20,1,0,0,0
1,08:29,00-0031301,J.Hill,0,1,0,0,0,0,0
1,08:26,00-0024242,D.Williams,0,3,0,0,0,0,0
1,08:16,00-0030485,E.Lacy,0,3,0,0,0,0,0
1,08:15,00-0026393,M.Reece,0,1,0,0,0,0,0
1,08:15,00-0031413,B.Sankey,0,9,0,0,0,1,0
1,08:12,00-0010346,P.Manning,1,0,0,0,0,0,0
1,08:12,00-0028067,J.Thomas,0,0,1,1,0,0,0
1,08:08,00-0031390,C.Sims,0,11,0,0,0,0,0
1,08:07,00-0025430,D.Stanton,9,0,0,0,0,0,0
1,08:07,00-0031051,Jo. Brown,0,0,9,1,0,0,0
1,08:05,00-0030280,K.Davis,0,3,0,0,0,0,0
1,08:02,00-0022924,B.Roethlisberger,3,0,0,0,0,0,0
1,08:02,00-0031373,M.Bryant,0,0,3,1,0,0,0
1,08:00,00-0022803,E.Manning,18,0,0,0,0,0,0
1,08:00,00-0029262,R.Randle,0,0,18,1,0,0,0
1,07:55,00-0024226,J.Cutler,30,0,0,0,0,0,0
1,07:55,00-0026184,M.Forte,0,0,30,1,0,0,0
1,07:54,00-0031075,A.Blue,0,1,0,0,0,0,0
1,07:54,00-0031301,J.Hill,0,1,0,0,0,0,0
1,07:49,00-0026153,J.Stewart,0,13,0,0,0,0,0
1,07:42,00-0023459,A.Rodgers,11,0,0,0,0,0,0
1,07:42,00-0027753,A.Quarless,0,0,11,1,0,0,0
1,07:34,00-0027155,R.Jennings,0,3,0,0,0,0,0
1,07:34,00-0029668,A.Luck,11,0,0,0,0,0,0
1,07:34,00-0020498,R.Wayne,0,0,11,1,0,0,0
1,07:30,00-0029701,R.Tannehill,-1,0,0,0,0,0,0
1,07:30,00-0029615,L.Miller,0,0,-1,1,0,0,0
1,07:30,00-0031390,C.Sims,0,12,0,0,0,0,0
1,07:27,00-0031075,A.Blue,0,14,0,0,0,0,0
1,07:27,00-0022942,P.Rivers,5,0,0,0,0,0,0
1,07:27,00-0027864,Ry.Mathews,0,0,5,1,0,0,0
1,07:21,00-0026213,J.Charles,0,14,0,0,0,0,0
1,07:20,00-0022924,B.Roethlisberger,19,0,0,0,0,0,0
1,07:20,00-0023465,H.Miller,0,0,19,1,0,0,0
1,07:17,00-0024226,J.Cutler,4,0,0,0,0,0,0
1,07:17,00-0026184,M.Forte,0,0,4,1,0,0,0
1,07:16,00-0031391,T.Mason,0,15,0,0,0,0,0
1,07:13,00-0027939,C.Newton,7,0,0,0,0,0,0
1,07:13,00-0026153,J.Stewart,0,0,7,1,0,0,0
1,07:13,00-0028012,R.Mallett,2,0,0,0,1,0,0
1,07:13,00-0027949,J.Watt,0,0,2,1,0,0,1
1,07:08,00-0027973,A.Dalton,8,0,0,0,0,0,0
